'name';'short_name';'url_logo';'volume';'algoritm';'generation';'twitter id';'site_url';'date'
'Sugar Exchange';'SGR';'https://www.cryptocompare.com/media/20780766/sgr.png';80000000;'';'';'https://twitter.com/Sugar_Exchange';'http://sugarexchange.io/';10.11.17
'KushCoin';'KUSH';'https://www.cryptocompare.com/media/1382401/kush.png';9354000;'X11';'PoW/PoS';'https://twitter.com/KushCoinDev';'https://kushcoin.co/';08.02.17
'DigitalDevelopersFund';'DDF';'https://www.cryptocompare.com/media/1383760/ddf.png';250000000;'';'';'https://twitter.com/DigitalDevFund';'https://www.digitaldevelopersfund.com/';29.06.17
'LiteBar';'LTB';'https://files.coinmarketcap.com/static/img/coins/200x200/litebar.png';1350000;'Scrypt';'PoW';'https://twitter.com/litebarco';'http://litebar.co/';11.02.14
'Nekonium';'NUKO';'https://files.coinmarketcap.com/static/img/coins/200x200/nekonium.png';18594251;'';'';'https://twitter.com/NekoniumDev';'https://nekonium.github.io/';06.12.17
'RedCoin';'RED';'https://www.cryptocompare.com/media/1383265/red.png';28736091179,2;'Scrypt';'PoW';'';'http://redcoin.pw/';30.06.13
'C-Bit';'XCT';'https://www.cryptocompare.com/media/1383246/xct.png';210000000;'SHA256';'PoW';'https://twitter.com/xctcbits';'http://www.xct-cbits.com/';17.04.17
'Coin(O)';'CNO';'https://www.cryptocompare.com/media/1382391/coino.png';105193532,2;'Scrypt';'PoW';'https://twitter.com/CoinoOrg';'http://coin-o-coin.com/';17.01.14
'Crave';'CRAVE';'https://files.coinmarketcap.com/static/img/coins/200x200/crave.png';1496850;'Scrypt';'PoW/PoS';'https://twitter.com/CraveProject';'http://www.craveproject.net/';20.03.15
'Veltor';'VLT';'https://files.coinmarketcap.com/static/img/coins/200x200/veltor.png';554855;;'PoW';'https://twitter.com/j_veltor';'http://veltor.org/';12.08.16
'Sterlingcoin';'SLG';'https://www.cryptocompare.com/media/20428/slg.png';4225700;'X13';'PoS';'https://twitter.com/SterlingcoinSLG';'http://sterlingcoin.org.uk/';02.08.14
'Pioneer Coin';'PCOIN';'https://www.cryptocompare.com/media/25792606/pcoin.png';23000000;'X11';'PoW';'https://twitter.com/pioneer_coin';'https://pioneercoin.com/';04.10.17
'Mincoin';'MNC';'https://www.cryptocompare.com/media/19805/mincoin.png';10000000;'Scrypt';'PoW';'https://twitter.com/MinCoinus';'http://www.mincoin.us/';03.04.13
'Blakecoin';'BLC';'https://www.cryptocompare.com/media/19623/blc.png';7000000000;'Blake';'PoW';'https://twitter.com/BlakeCoin';'https://blakecoin.org/';07.10.13
'8Bit';'8BIT';'https://files.coinmarketcap.com/static/img/coins/200x200/8bit.png';1467841;'Scrypt';'PoW/PoS';'';'http://www.8-bit.ga/';17.04.15
'Hawala.Today';'HAT';'https://www.cryptocompare.com/media/20780593/hat.png';7000000;'';'';'https://twitter.com/hawalatoday';'https://hawala.today/';18.10.17
'Ccore';'CCO';'https://files.coinmarketcap.com/static/img/coins/200x200/ccore.png';10000000;'';'';'https://twitter.com/ccore_io';'https://ccore.azureedge.net/';01.12.17
'eBitcoinCash';'EBCH';'https://www.cryptocompare.com/media/14913464/ebch.png';21000000;'';'';'https://twitter.com/eBCHCoin';'https://ebitcoincash.io/';04.11.17
'Gapcoin';'GAP';'http://gapcoin.org/img/logo.png';12390606;'';'';'https://twitter.com/Gapcoin';'http://gapcoin.org/';01.11.14
'Ethereum Dark';'ETHD';'https://www.cryptocompare.com/media/12318087/ethd.png';4200000;'Scrypt';'PoW/PoS';'https://twitter.com/ethereum_dark';'https://www.ethereumdark.net/';20.09.17
'iCoin';'ICN';'https://files.coinmarketcap.com/static/img/coins/200x200/icoin.png';29359706;'';'';'';'http://www.icoin.world/';17.02.14
'Elcoin';'EL';'https://files.coinmarketcap.com/static/img/coins/200x200/elcoin-el.png';20935289;'';'';'https://twitter.com/7elephantRu';'https://elcoin.space/';05.05.16
'Tigercoin';'TGC';'https://www.cryptocompare.com/media/19930/tgc.png';47011968;'SHA256';'PoW';'https://twitter.com/TigerCoin';'https://tigercoin.wordpress.com/';06.09.13
'RevolverCoin';'XRE';'https://www.cryptocompare.com/media/350975/xre.jpg';22470934,1;'X11Evo';'PoW';'https://twitter.com/RevolverCoin';'http://www.revolvercoin.org/';28.05.16
'Rasputin Online Coin';'ROC';'https://files.coinmarketcap.com/static/img/coins/200x200/rasputin-online-coin.png';5000000;'';'';'https://twitter.com/RasputinOnline';'https://ico.rasputinonline.com/';07.11.17
'StarCash Network';'STARS';'https://files.coinmarketcap.com/static/img/coins/200x200/starcash-network.png';933677;'';'';'https://twitter.com/StarCashCrypto';'http://starcash.co/';07.11.17
'ChanCoin';'CHAN';'https://www.cryptocompare.com/media/1383831/chan2.png';30000000;'Scrypt';'PoW';'https://twitter.com/chancoindev';'https://chancoin.org/';28.06.17
'Sovereign Hero';'HERO';'https://files.coinmarketcap.com/static/img/coins/200x200/sovereign-hero.png';4773;'';'';'';'http://www.sovereignhero.com/';11.07.17
'PostCoin';'POST';'https://files.coinmarketcap.com/static/img/coins/200x200/postcoin.png';15081003;;'PoS';'https://twitter.com/POSTcoinArena';'https://postcoin.top/';17.03.16
'FinCoin';'FNC';'https://files.coinmarketcap.com/static/img/coins/200x200/fincoin.png';1812878667;'';'';'';'http://fincoin.co/';11.07.17
'Xios';'XIOS';'https://www.cryptocompare.com/media/14761915/xios.png';21000000;'Scrypt';'PoW/PoS';'https://twitter.com/Xioscoin';'http://www.xioscoin.com/';09.10.17
'ChessCoin';'CHESS';'https://www.cryptocompare.com/media/351094/chess.jpg';74666667;'Scrypt';'PoW/PoS';'https://twitter.com/Chess_Coin';'http://chesscoinpro.com/';05.06.16
'Phoenixcoin';'PXC';'https://www.cryptocompare.com/media/20058/pxc.png';98000000;'Scrypt';'PoW/PoS';'https://twitter.com/Phoenixcoin';'http://phoenixcoin.org/';20.05.13
'Ratecoin';'XRA';'https://www.cryptocompare.com/media/351032/xra.png';75000000;'X11';'PoW/PoS';'https://twitter.com/Rate_coin';'http://ratecoin.info/';17.06.15
'Argentum';'ARG';'https://www.cryptocompare.com/media/19602/arg.png';64000000;'Scrypt';'PoW';'https://twitter.com/Argentum_ARG';'http://www.argentum.io/';11.06.11
'ZoZoCoin';'ZZC';'https://files.coinmarketcap.com/static/img/coins/200x200/zozocoin.png';7296311;'';'';'https://www.twitter.com/ZoZoCoins';'https://www.zozocoins.com/';21.11.17
'Onix';'ONX';'https://www.cryptocompare.com/media/1383910/onx.png';1100000000;'X11';'PoW';'https://twitter.com/onix_coin';'http://www.onixcoin.com/';26.05.17
'Evil Coin';'EVIL';'https://www.cryptocompare.com/media/351080/evil.png';21024000;'X11';'PoW/PoS';'https://twitter.com/evil_coin';'http://evilcoin.xyz/';01.12.15
'SoonCoin';'SOON';'https://www.cryptocompare.com/media/20436/soon.png';21000000;'SHA256';'PoW';'https://twitter.com/SoonCoin';'http://www.sooncoin.com/';05.04.14
'Dix Asset';'DIX';'https://files.coinmarketcap.com/static/img/coins/200x200/dix-asset.png';100000000000;'';'';'';'https://www.dixassetcoin.net/';12.01.17
'Mineum';'MNM';'https://www.cryptocompare.com/media/350982/mnm.png';10000000;'X13';'PoW/PoS';'https://twitter.com/mineumproject';'https://mineum.org/';04.05.16
'Swing';'SWING';'https://www.cryptocompare.com/media/350987/swing.png';40000000;'SHA256';'PoW/PoS';'';'http://tryswing.com/';28.08.15
'Bolivarcoin';'BOLI';'https://www.cryptocompare.com/media/351008/boli.png';25000000;'X11';'PoW';'https://twitter.com/Bolivarcoin';'http://bolicoin.com/';29.08.15
'LiteBitcoin';'LBTC';'https://www.cryptocompare.com/media/9350763/lbtc.png';1000000000;'Scrypt';'PoW';'https://twitter.com/Lite_Bitcoin';'http://www.lbtc.info/';11.08.17
'EOT Token';'EOT';'https://files.coinmarketcap.com/static/img/coins/200x200/eot-token.png';200000000;'';'';'https://twitter.com/EOTCOIN';'http://eottoken.com/';27.08.17
'Bitcoin Fast';'BCF';'https://www.cryptocompare.com/media/352189/btf.png';33000000;'Scrypt';'PoW/PoS';'https://twitter.com/BitCoinFastTeam';'https://bitcoinfast.wordpress.com/';07.12.14
'GoldReserve';'XGR';'https://www.cryptocompare.com/media/1383161/xgr.png';40000000;'X11';'PoW/PoS';'https://twitter.com/GoldReserveCoin';'http://www.goldreservecoin.com/';07.06.14
'BERNcash';'BERN';'https://www.cryptocompare.com/media/350973/bern.png';71234301;'X14';'PoW/PoS';'https://twitter.com/berncash';'http://berncoin.org/';22.02.16
'Chronos';'CRX';'https://www.cryptocompare.com/media/351388/crx.png';73729962;'Scrypt';'PoW/PoS';'https://twitter.com/_Pennyauction_';'http://chronos-coin.com/';09.07.16
'Litecoin Plus';'LCP';'https://www.cryptocompare.com/media/20780774/lcp.png';4000000;'Scrypt';'PoW/PoS';'https://twitter.com/Media_LCP';'http://litecoinplus.co/';08.09.17
'Helleniccoin';'HNC';'https://www.cryptocompare.com/media/20702/hnc.png';100000000;'Scrypt';'PoW';'';'http://www.helleniccoin.gr/';09.02.15
'CannaCoin';'CCN';'https://www.cryptocompare.com/media/19643/ccn.png';13140000;'Scrypt';'PoW';'https://twitter.com/CCNProject';'http://cannacoin.cc/index.php';22.01.14
'YENTEN';'YTN';'https://files.coinmarketcap.com/static/img/coins/200x200/yenten.png';84000000;'';'';'';'https://conan-equal-newone.github.io/yenten/';18.12.17
'Motocoin';'MOTO';'https://www.cryptocompare.com/media/1382339/moto.png';40000000;;'PoP';'https://twitter.com/Motocoin';'http://motocoin.org/';01.05.14
'TagCoin';'TAG';'https://www.cryptocompare.com/media/19925/tag.png';1000000;'Scrypt';'PoW/PoS';'https://twitter.com/TagCoin';'http://www.tagcoin.org/';27.10.13
'Emerald Crypto';'EMD';'https://www.cryptocompare.com/media/20278/emd.png';31499000;'Scrypt';'PoW';'https://twitter.com/Emerald_Crypto';'http://www.emeraldcrypto.org/';16.06.13
